id,subtest,issue_type,severity,stem_snippet,suggested_action
picard-1000-vr-0195,verbal_reasoning,missing_passage,high,"Which of the following statements cannot be deduced from the text?","recover passage from source or exclude"
green-800-vr-0014,verbal_reasoning,missing_passage,high,"Based on the passage each of these statements are false except:","recover passage from source or exclude"
bryon-750-vr-0095,verbal_reasoning,missing_passage,high,"The passage is illustrated with specific details from five of the six major religions of the world.","recover passage from source or exclude"
picard-1000-vr-0123,verbal_reasoning,missing_passage,high,"The writer enjoyed his dessert on the second night. ice True la False [ | Can't tell","recover passage from source or exclude"
picard-1000-vr-0130,verbal_reasoning,missing_passage,high,"Which of the following statements about the fire resistance of Mediterranean cypresses cannot be deduced from the text?","recover passage from source or exclude"
picard-1250-vr-15-q02,verbal_reasoning,missing_passage,high,"Which of the following statements can reasonably be concluded from the passage?","recover passage from source or exclude"
picard-1250-vr-16-q03,verbal_reasoning,missing_passage,high,"Which conclusion can be drawn from the passage?","recover passage from source or exclude"
tomkins-2014-vr-0014,verbal_reasoning,missing_passage,high,"According to the author, it seems there were quite a few drawbacks to the Johnson et al. study.","recover passage from source or exclude"
vr-008,verbal_reasoning,missing_passage,high,"According to the passage, in the 19th century the French government:","recover passage from source or exclude"
vr-010,verbal_reasoning,missing_passage,high,"According to the passage, which of these assertions must be false?","recover passage from source or exclude"
bryon-700-dm-0015,decision_making,missing_table,critical,"Which ONE of the following words when added to the table of code words would be the most helpful in coding the sentence? We sold our home in…","add pipe-table to passage, regenerate, or exclude"
bryon-750-dm-0054,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Nobody protested as…","add pipe-table to passage, regenerate, or exclude"
gen-qr-0046,quantitative_reasoning,missing_table,critical,"How many HCAs are not yet vaccinated?","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0022,quantitative_reasoning,missing_table,critical,"What was the approximate combined mean average daily temperature, in °F, recorded in Bamber, Tillitia and Syncroy over the course of the sev…","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0034,quantitative_reasoning,missing_chart,critical,"What was the mean average weekday temperature?","regenerate chart, render via Recharts, or exclude"
green-800-qr-0094,quantitative_reasoning,missing_chart,critical,"Which factory is the most productive on average?","regenerate chart, render via Recharts, or exclude"
green-800-qr-0106,quantitative_reasoning,missing_chart,critical,"By what percentage did the profi ts decrease in the West from January to February?","regenerate chart, render via Recharts, or exclude"
green-800-qr-0116,quantitative_reasoning,missing_diagram,critical,"What is the correct formula to calculate the area of the large triangle?","regenerate diagram or exclude"
kaplan-qr-q0030,quantitative_reasoning,missing_chart,critical,"Which localauthority saw the greatest rise in population?","regenerate chart, render via Recharts, or exclude"
medichut-2023-dm-mock-q08,decision_making,missing_chart,critical,"The graph below shows the temperature across different cities in a country, taken on a particular day. Weather in Various Cities 35 30 30 28…","regenerate chart, render via Recharts, or exclude"
medichut-2023-dm-mock-q23,decision_making,missing_diagram,critical,"The diagram below shows the number of customers who purchased different products at a store. Based on the diagram, how many customers bought…","regenerate diagram or exclude"
picard-1250-qr-17-q01,quantitative_reasoning,missing_diagram,critical,"What is the area of the field?","regenerate diagram or exclude"
picard-1250-qr-17-q02,quantitative_reasoning,missing_diagram,critical,"The field’s owner is nearing retirement and wants to share the field between his four sons. He wishes to allocate: 1/6 of the field to his f…","regenerate diagram or exclude"
picard-1250-qr-17-q05,quantitative_reasoning,missing_diagram,critical,"The field owner runs along the edge of his field every morning in order to exercise. How long does it take him to run along the full perimet…","regenerate diagram or exclude"
